parameter,standardized_beta,absolute_importance,model_R2
service load,0.5786842071303698,0.5786842071303698,0.9550185441571255
consolidation coefficient,0.5041799755895024,0.5041799755895024,0.9550185441571255
vertical stiffness,-0.4911297194932751,0.4911297194932751,0.9550185441571255
thermal pressurization,0.24168791899167458,0.24168791899167458,0.9550185441571255
soil compressibility,0.21120753659774083,0.21120753659774083,0.9550185441571255
thermal amplitude,0.20776575105603795,0.20776575105603795,0.9550185441571255
head stiffness,-0.053517640950320744,0.053517640950320744,0.9550185441571255
