scenario,civil_use,service_load_kN,head_stiffness_kN_per_m,allowable_settlement_mm,thermal_amplitude_C,serviceability_basis,head_restraint_ratio,initial_mechanical_settlement_mm,peak_abs_thermal_force_kN,peak_abs_pore_pressure_kPa,max_TM_settlement_mm,max_THM_settlement_mm,final_THM_settlement_mm,max_THM_serviceability_ratio,max_error_if_pore_pressure_ignored_percent,case_id,thermal_factor,load_factor,head_stiffness_factor,vertical_stiffness_factor,cv_factor,mv_factor,lambda_factor
Bridge abutment retrofit matrix 105,bridge abutment or approach foundation,3986.6864443549525,740072.9223648742,15.0,6.9266477581982695,stricter screening limit for bridge approach compatibility and differential-settlement control,0.4953451134615813,9.614048496013929,517.394544454488,64.94235215557737,10.313161419644716,13.397138204879905,9.632191390054068,0.8931425469919937,23.857235377323253,105,0.8658309697747837,0.9492110581797506,1.3455871315724985,1.15186947691064,2.0017304207256617,0.6955105747292923,0.9101362240703159
Bridge abutment retrofit matrix 106,bridge abutment or approach foundation,5437.52785432296,438507.3036142799,15.0,9.665911077723283,stricter screening limit for bridge approach compatibility and differential-settlement control,0.36772423466230614,16.66479245912141,535.9890375960845,116.84158255634617,17.887096017530446,21.254319154993414,16.696526631761923,1.4169546103328943,18.69020655730931,106,1.2082388847154104,1.2946494891245142,0.797286006571418,0.9063565644058621,0.40644606621872537,1.338719300483604,1.2076123100638132
Bridge abutment retrofit matrix 107,bridge abutment or approach foundation,3860.4827581467766,394270.3131349422,15.0,10.169040046153121,stricter screening limit for bridge approach compatibility and differential-settlement control,0.343365501897772,11.369636305093094,526.5352798953701,141.94124604958694,12.70510403460272,17.40650176676322,11.40432552449819,1.160433451117548,29.298746127964343,107,1.2711300057691401,0.9191625614635183,0.716855114790804,0.9431755712599794,0.9112837230620736,0.8010798185287873,1.3796189845854823
Bridge abutment retrofit matrix 108,bridge abutment or approach foundation,4922.7388075083645,841805.675020957,15.0,9.92267953116733,stricter screening limit for bridge approach compatibility and differential-settlement control,0.5275172651407678,16.779666460137683,789.3261711561989,126.55589328238793,17.717324870597494,20.420663156505707,16.804157319374866,1.3613775437670472,15.403201124788742,108,1.2403349413959162,1.1720806684543725,1.5305557727653765,0.8149312441809293,0.43666614689923255,0.925665705038229,1.273306500970957
Bridge abutment retrofit matrix 109,bridge abutment or approach foundation,3291.9870564615835,820882.983249031,15.0,6.474718374470378,stricter screening limit for bridge approach compatibility and differential-settlement control,0.5212401498024012,9.40016168404702,508.9200990091048,83.50434361717728,10.020128365527995,18.030120615690198,9.416270206947708,1.2020080410460132,45.04974611976589,109,0.8093397968087972,0.7838064420146628,1.4925145149982382,0.9727926813950452,1.9357734486007285,1.408640637608589,1.253144426076887
Bridge abutment retrofit matrix 110,bridge abutment or approach foundation,5005.498088635466,522883.33846982237,15.0,10.042392048547267,stricter screening limit for bridge approach compatibility and differential-settlement control,0.4095053924013288,16.6257471421408,620.1370171315797,93.03730924369334,17.811742127076375,20.58214946063134,16.656595093415177,1.3721432973754226,16.196047057067236,110,1.2552990060684084,1.1917852591989204,0.9506969790360407,0.8363029485801733,0.415180147876383,1.382595699259168,0.9253537510231261
Bridge abutment retrofit matrix 111,bridge abutment or approach foundation,3163.1123645007588,645796.5146936952,15.0,9.527547085642258,stricter screening limit for bridge approach compatibility and differential-settlement control,0.4613561350150322,10.547949462597183,662.8393197726332,133.35706922029732,11.574339826575876,15.171729636512218,10.574791945848393,1.0114486424341478,27.33686556614164,111,1.1909433857052822,0.7531219915477997,1.1741754812612641,0.8329982302134467,0.3603216144922973,1.3445687416980183,1.3997842474827467
Bridge abutment retrofit matrix 112,bridge abutment or approach foundation,3436.0961759778143,931085.9198641415,15.0,6.17703743780867,stricter screening limit for bridge approach compatibility and differential-settlement control,0.5525508960262849,9.445457267794039,514.6872146660113,59.37743296956974,9.998238921651623,11.127716536846611,9.459882414018363,0.7418477691231075,12.59108134455172,112,0.7721296797260837,0.8181181371375749,1.6928834906620756,1.0105081553312152,0.31633531829793277,1.1281772770022753,0.9622897924993328
Bridge abutment retrofit matrix 113,bridge abutment or approach foundation,3494.2406168507578,332919.511071169,15.0,8.03483124490965,stricter screening limit for bridge approach compatibility and differential-settlement control,0.30630138529483447,8.990496896842817,371.12189729148577,110.91915755986328,10.105246513341413,13.569368458379808,9.01941687158457,0.9046245638919872,29.08623179075852,113,1.0043539056137063,0.8319620516311328,0.60530820194758,1.0796092860123307,0.5558493904264061,1.1095346109286879,1.3746118268529381
Bridge abutment retrofit matrix 114,bridge abutment or approach foundation,3053.875096845859,787741.7202096157,15.0,9.190542280544042,stricter screening limit for bridge approach compatibility and differential-settlement control,0.510948614761166,8.935065508268655,708.1238509055044,131.34213618485592,9.833994475388836,16.691953543905168,8.958589185739276,1.1127969029270113,43.006193665141474,114,1.1488177850680052,0.727113118296633,1.432257673108392,0.9494039380323616,0.7392287654777906,1.395976405921727,1.4174886117465597
